"도미니카연방",20,20,15,15,22,22,23,23,24,24,28,28,32,32
"도미니카공화국",658,651,259,252,372,366,357,350,397,391,507,502,699,694
"에콰도르",1546,1380,2010,1844,1794,1628,2025,1858,2259,2093,1786,1620,1888,1642
"엘살바도르",717,536,829,649,940,758,1110,937,1460,1308,1766,1613,1972,1820
"그레나다",27,27,31,31,37,37,36,36,43,43,47,47,51,51
"과테말라",877,868,872,863,711,702,879,870,1120,1111,1344,1335,1198,1189
"가이아나",248,247,249,247,270,269,334,330,340,316,301,277,268,268
"아이티",32,32,51,51,192,192,216,216,207,207,258,258,264,264
"온두라스",106,97,179,171,270,261,257,249,587,580,824,818,1264,1258
"자메이카",417,417,736,736,681,681,880,880,682,682,709,709,555,555
"몬트세랫",6,6,8,8,9,9,9,9,11,11,25,25,14,14
"네덜란드령 안틸레스",272,234,217,179,320,203,295,189,320,214,348,248,365,265
"니카라과",55,55,142,141,137,136,198,197,379,378,351,350,510,510
"파나마",597,597,704,704,781,781,867,867,1148,1148,954,954,823,823
"파라과이",645,631,1044,1031,1106,1093,1062,1049,846,836,875,865,988,978
"페루",3842,3408,7355,6992,8588,8222,10928,10578,11254,10982,9834,9565,9001,8730
"세인트키츠네비스",29,29,32,32,33,33,33,33,36,36,47,47,50,50
"세인트루시아",60,60,58,58,63,63,56,56,61,61,71,71,75,75
"세인트빈센트그레나딘",32,32,31,31,30,30,30,30,31,31,39,39,43,43
"수리남",859,18,54,40,174,133,154,96,164,109,283,106,109,38
"트리니다드토바고",208,206,354,352,360,358,545,544,723,706,799,783,963,945
"우루과이",1212,758,1466,969,1675,1150,1923,1251,2207,1556,2590,2073,2599,2081
"베네수엘라",12656,9216,11507,8067,9723,6283,15228,11788,17818,14378,14849,11920,15164,12277
"유럽",,,,,,,,,,,,,,
"알바니아",167,147,226,205,265,241,323,281,342,309,418,384,523,488
"오스트리아",17481,14610,19957,16822,20954,18730,24670,22865,20904,19736,25227,22432,18923,15120
"벨라루스",-,-,101,101,377,377,469,469,394,394,703,703,294,294
"벨기에",21370,11415,22359,13876,23483,16177,23124,16953,21330,16190,20837,18272,13346,10938
"보스니아-헤르체고비나",-,-,-,-,-,-,-,-,80,80,175,175,452,452
"불가리아",960,655,1311,1002,1546,1236,793,484,2474,2112,3056,2685,3222,2892
"크로아티아",616,616,1405,1405,1896,1896,2314,2314,2539,2539,2816,2816,3025,3025
"체코",4553,3789,6949,6145,14613,13843,13085,12352,10037,9734,12625,12542,12936,12806
"덴마크",10779,10301,9759,9056,11729,11016,14730,14140,19669,19124,15941,15264,22818,22287
"에스토니아",389,386,447,443,583,580,640,637,760,758,813,811,856,853
"핀란드",5788,5411,11122,10662,10438,10038,7291,6916,8738,8417,10122,9694,8677,8220
"프랑스",53378,22649,56988,26257,58512,26853,57164,26796,55929,30927,74183,44312,67927,39701
"독일",85569,77640,86201,77363,94554,85005,91982,83178,85225,77587,84251,74024,93407,61039
"그리스",8647,7790,15339,14488,15652,14780,18335,17501,13279,12595,18144,17458,18904,18122
"헝가리",6745,6700,6777,6735,12017,11974,9757,9720,8437,8408,9348,9319,10983,10954
"아이슬란드",429,426,295,293,311,308,456,454,386,384,429,426,495,478
"아일랜드",6048,5925,6256,6115,8767,8630,8348,8205,6642,6526,9530,9397,5376,5325
"이탈리아",51138,27545,58607,32265,60475,34905,71317,45948,77545,55739,54599,29888,45302,22422
"라트비아",504,432,620,545,580,506,729,654,833,760,873,801,944,872
"리투아니아",412,350,587,525,819,757,834,772,1063,1010,1460,1409,1242,1195
"룩셈부르크",82,67,93,76,93,75,90,74,79,64,-,-,99,77
"북마케도니아",119,105,165,149,275,257,268,240,280,257,335,306,460,430
"몰타",1401,1362,1890,1850,1620,1604,1627,1620,1491,1488,1665,1663,1790,1788
"몰도바",76,76,180,180,257,257,312,312,366,366,144,144,186,186
"네덜란드",38982,31344,43010,34532,42882,33714,35389,26767,30666,24865,28717,21418,19050,9886
"노르웨이",19660,19622,19068,19026,22563,22518,26561,26517,23439,23400,19086,19048,23843,23807
"폴란드",4281,4092,6031,5842,14963,14774,18033,17844,20670,20407,28275,27325,27314,26355
"포르투갈",21029,15840,20698,15513,21039,15850,20911,15918,18925,15660,19214,15825,14088,8427
"루마니아",1920,995,3051,2086,2359,1579,2623,2103,4261,3803,3226,2867,2493,1526
"러시아",8894,5835,6506,3980,17207,14383,15324,11276,17784,12895,12223,7801,12456,8457
"산마리노",120,120,176,176,199,199,215,215,183,183,171,171,144,144
"슬로바키아",491,416,1771,1691,3449,3364,3498,3419,3303,3230,2937,2869,3430,3371
"슬로베니아",788,788,1499,1499,1821,1821,2297,2297,3315,3315,3639,3639,3168,3168
"스페인",45262,41045,45763,41546,38706,34485,62148,57927,72537,68398,60875,55258,38000,33115
"스웨덴",19342,19050,23564,23254,24296,24051,19344,19107,11048,10825,14331,14098,15305,15019
"스위스",40681,32635,43806,34729,46760,36413,47274,38433,47210,39028,49858,41191,43785,36321
"우크라이나",166,162,664,651,1069,1051,1972,1960,2359,2341,793,761,1094,1046
"영국",41335,36777,46327,41013,47258,42016,45373,39896,37126,32317,37290,32212,46188,40224
"유로지역",-,-,-,-,-,-,-,-,-,-,-,-,373681,256780
"아프리카",,,,,,,,,,,,,,
"알제리",1743,1475,2959,2674,2296,2005,4516,4235,8310,8047,7121,6846,4794,4526
"앙골라",-,-,-,-,228,228,556,556,393,393,202,202,491,491
"보츠와나",4097,4097,4401,4401,4695,4695,5028,5028,5675,5675,5941,5941,6229,6229
"부룬디",170,163,211,205,216,209,146,140,118,113,70,66,53,48
"카메룬",14,2,14,2,15,4,14,3,10,1,10,1,13,4
"카보베르데",58,58,42,42,37,37,28,28,19,19,8,8,43,43
"중앙아프리카공화국",116,112,214,210,238,234,236,232,182,179,149,146,140,136
"차드",43,39,80,76,147,143,169,164,139,136,123,120,98,95
"코모로",39,39,44,44,45,44,51,51,41,40,39,39,37,37
"콩고",6,1,55,50,64,59,95,91,63,60,4,1,43,39
"콩고민주공화국",55,46,131,121,157,147,83,83,98,83,83,83,83,83
"지부티",75,75,74,74,72,72,77,77,67,67,66,66,71,71
"이집트",13520,12904,14175,13481,16885,16181,18093,17398,19274,18665,18665,18124,14959,14484
"적도기니",5,0,1,0,0,0,1,1,10,5,2,1,3,3
"에리트레아",-,-,-,-,61,40,109,81,242,199,68,23,54,34
"에티오피아",467,456,556,544,783,772,733,732,501,501,511,511,459,459
"가봉",6,1,180,175,153,148,253,249,286,283,19,15,22,18
"감비아",106,106,98,98,106,106,102,102,96,96,106,106,111,111
"가나",487,410,661,584,775,697,906,829,615,538,456,377,533,454
"기니",191,132,158,88,185,87,194,87,222,122,249,237,208,200
"케냐",420,406,573,558,369,353,761,746,811,788,783,783,792,792
"레소토",253,253,373,373,457,457,461,461,572,572,575,575,500,500
"라이베리아",2,2,5,5,28,28,0,0,0,0,1,1,0,0
"리비아",5884,5884,5969,5969,6023,6023,6025,6025,5997,5997,7464,7270,7474,7280
"마다가스카르",81,81,72,72,109,109,241,241,282,282,171,171,227,227
"말라위",57,57,43,43,111,110,221,221,143,142,256,255,247,246
