"국가별",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"국가별",초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리
"말레이시아",6.48,7.03,10.03,6.35,7.10,3.68,4.89,8.76,5.11,4.20,5.50,5.93,8.73,6.51,5.60,6.41,7.09,9.94,6.39,6.92,6.41,7.78,10.63,6.87,7.61,6.86,8.51,12.13,7.66,8.46,3.53,4.12,8.56,5.63,3.38
"몰디브",-,-,-,-,-,-,-,-,-,-,-,4.13,10.99,-,-,-,4.13,10.99,-,-,-,4.13,10.99,-,-,-,4.13,10.99,-,-,-,4.20,9.16,-,-
"몽골",-,280.20,-,-,-,-,115.71,-,-,-,-,74.62,-,-,-,-,44.75,-,-,-,-,36.37,-,-,-,-,33.31,48.06,-,-,-,23.42,44.01,-,-
"미얀마",-,9.00,-,-,-,-,9.00,20.31,-,-,-,9.75,20.31,-,-,-,12.50,20.31,-,-,-,12.50,20.31,-,-,-,12.50,20.31,-,-,-,11.00,19.85,-,-
"네팔",7.73,-,-,12.50,-,6.14,-,-,9.00,-,8.59,-,-,9.00,-,12.09,-,-,9.00,-,6.79,-,-,9.00,-,2.80,-,-,9.00,-,2.94,-,-,8.75,-
"오만",-,5.04,8.89,-,-,-,3.80,8.38,-,-,-,6.00,9.28,-,-,-,6.45,9.30,-,-,-,6.70,9.18,-,-,-,7.80,9.74,-,-,-,8.14,10.53,-,-
"파키스탄",-,-,-,13.31,11.00,-,-,-,13.01,8.36,-,-,-,13.00,11.52,14.35,-,-,13.00,11.40,15.74,-,-,13.05,12.10,14.43,-,-,13.00,10.76,10.75,-,-,-,9.04
"필리핀",12.45,9.61,14.68,-,13.77,12.71,10.54,15.06,13.25,13.99,11.76,8.39,14.68,13.92,11.93,12.34,9.68,14.84,13.99,12.77,12.89,10.19,16.28,14.61,16.16,15.00,12.11,16.78,17.98,13.90,10.00,8.17,11.78,12.31,10.16
"카타르",-,4.08,7.20,-,-,-,4.84,8.86,-,-,-,6.19,10.19,-,-,-,6.50,-,-,-,-,6.63,-,-,-,-,6.56,-,-,-,-,6.50,-,-,-
"싱가포르",0.91,2.30,5.39,-,2.57,1.96,3.00,5.88,-,3.79,1.11,3.50,6.37,-,2.67,1.40,3.41,6.26,-,2.95,2.22,3.47,6.32,-,4.22,2.10,4.60,7.44,-,4.81,1.11,1.68,5.80,4.50,2.13
"태국",-,8.63,11.17,-,6.54,-,8.46,10.90,-,7.25,-,11.58,13.25,-,10.96,-,10.33,13.40,-,9.23,-,10.52,13.65,-,15.69,-,10.65,14.42,-,13.02,-,4.77,8.98,7.94,1.77
"튀르키예",-,64.57,-,-,-,-,87.79,-,-,-,-,75.97,-,-,-,-,80.75,-,-,-,-,79.49,-,-,-,-,80.11,-,-,-,-,78.43,-,-,-
"베트남",26.40,22.04,32.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.10,-,-,10.88,8.51,14.42,-,-,11.65,9.23,14.40,-,-,8.93,7.37,12.70,-,-
"예멘",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.20,23.75,31.45,-,-,15.97,14.92,22.52,-,-,12.53,11.33,18.13,-,-,20.57,18.25,24.08,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
