"국가별",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"국가별",초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리
"아이슬란드",8.35,-,14.11,6.80,8.61,4.95,-,10.57,5.02,4.96,7.22,-,11.58,7.18,6.58,6.97,-,12.43,5.61,6.96,7.04,-,12.89,5.49,7.38,7.40,-,12.78,4.73,8.12,8.61,-,13.30,4.28,9.24
"아일랜드",-,-,-,7.70,10.49,-,-,-,7.92,5.66,-,-,-,8.26,6.05,-,-,-,7.29,5.36,-,-,-,6.29,6.15,-,-,-,4.80,5.69,-,-,-,4.71,2.84
"이탈리아",10.58,-,14.63,11.19,10.20,9.17,-,11.98,10.52,8.51,10.85,-,13.24,12.21,10.46,8.46,-,12.82,9.40,8.82,6.33,-,10.51,6.86,6.88,4.59,-,8.64,4.88,4.99,3.01,-,6.35,4.73,2.95
"리투아니아",-,-,-,-,98.27,25.03,-,-,-,69.48,29.21,-,-,-,26.73,20.95,-,-,-,20.26,8.64,-,-,-,9.55,10.69,-,-,-,6.12,11.14,-,-,-,6.26
"룩셈부르크",-,-,-,6.84,-,-,-,-,7.15,-,-,-,-,7.23,-,-,-,-,6.32,-,-,-,-,5.60,-,-,-,-,4.73,-,-,-,-,4.66,-
"몰타",4.60,-,-,-,-,4.29,-,-,-,-,4.65,-,7.38,-,-,4.99,-,7.77,-,-,5.08,-,7.99,-,-,5.41,-,8.09,-,-,5.15,-,7.70,-,-
"몰도바",-,-,-,-,-,-,-,-,-,-,-,26.50,40.78,-,-,44.68,25.43,36.67,-,-,25.47,23.47,33.33,29.02,-,34.20,21.68,30.83,29.78,-,32.27,27.54,35.54,-,-
"네덜란드",-,5.05,-,6.36,-,-,4.70,-,6.86,-,-,4.40,-,6.90,-,-,3.54,-,6.15,-,-,3.18,-,5.58,-,-,3.10,-,4.63,-,-,2.74,3.46,4.63,-
"노르웨이",-,-,-,6.52,7.27,-,-,-,7.13,5.85,-,-,-,6.82,5.48,-,-,-,5.94,4.90,-,-,-,5.13,3.73,-,-,-,5.35,5.79,-,-,-,5.38,6.54
"폴란드",33.85,-,-,-,24.51,29.40,-,-,-,23.32,26.14,-,-,-,25.82,20.73,-,-,-,20.63,22.02,-,-,-,22.66,18.90,-,-,-,21.11,12.99,-,-,-,13.89
"포르투갈",-,-,-,11.18,-,-,-,-,10.48,-,-,-,-,11.47,-,-,-,-,8.56,-,-,-,-,6.36,-,-,-,-,4.88,-,-,-,-,4.78,-
"루마니아",-,42.50,86.40,-,-,78.75,57.00,90.39,-,-,42.08,44.73,50.72,-,50.10,51.09,37.26,55.13,-,58.36,85.72,55.83,72.53,-,86.02,63.99,37.28,55.32,-,80.88,74.21,45.87,65.64,-,80.76
"러시아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,190.43,-,-,-,-,47.65,-,16.77,32.04,-,20.97,-,17.05,41.79,-,50.56,-,13.68,39.72,-,14.79
"슬로베니아",-,-,-,-,39.15,-,-,-,-,29.08,-,-,-,-,12.18,-,-,-,-,13.98,-,-,-,-,9.71,10.58,-,-,-,7.45,8.63,-,-,-,6.87
"스페인",10.53,-,-,10.21,12.33,8.11,-,-,10.00,7.81,9.79,-,-,11.27,8.98,7.23,-,-,8.74,7.65,5.02,-,-,6.40,5.49,3.79,-,-,4.83,4.34,3.01,-,-,4.73,2.72
"스웨덴",8.35,5.45,12.10,8.57,9.08,7.40,4.76,10.65,9.70,7.36,8.75,5.73,11.14,10.24,8.54,5.79,3.70,8.73,8.03,6.28,4.11,2.38,7.06,6.62,4.21,4.19,2.30,6.46,4.99,4.24,3.12,1.48,5.38,4.98,3.14
"스위스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.04,-,-,-,-,3.04,-
"우크라이나",-,148.63,184.25,-,-,-,208.63,250.28,-,-,-,70.29,122.70,-,-,-,33.63,79.88,-,33.86,-,18.21,49.12,-,22.05,-,22.25,54.50,-,40.41,-,20.70,54.95,-,44.98
"영국",5.21,3.97,6.01,7.55,5.91,5.15,3.66,5.46,8.12,4.88,6.33,4.11,6.69,8.20,6.08,5.78,3.05,5.96,7.81,5.96,6.48,3.63,6.56,7.05,6.61,6.83,4.48,7.23,5.55,7.21,5.04,-,5.34,5.09,5.20
"유로지역",-,-,-,8.42,-,-,-,-,8.18,6.18,-,-,-,8.73,6.09,-,-,-,7.23,4.58,-,-,-,5.96,4.02,-,-,-,4.70,3.73,-,-,-,4.66,2.74
"세르비아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.97,19.05,-,-,-,60.86,16.15,-,-,-,46.06,3.35,-,-
"아프리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알제리",-,-,-,-,-,-,-,-,-,-,-,16.58,18.42,-,19.62,-,14.50,19.00,-,19.61,-,12.60,15.71,-,16.66,9.75,9.13,11.50,-,10.13,10.04,8.25,10.75,-,9.99
"앙골라",-,-,-,-,-,-,-,-,-,-,-,125.92,206.25,-,-,-,147.13,217.88,-,-,-,29.25,37.75,-,-,-,36.88,45.00,-,-,-,36.57,80.30,-,-
"보츠와나",-,13.49,14.92,-,-,-,10.59,13.92,-,-,-,9.79,14.42,-,-,-,9.68,14.50,-,-,-,9.51,13.95,-,-,-,8.43,13.65,-,-,-,9.10,14.78,-,-
"부룬디",-,-,13.77,-,-,-,-,14.20,-,-,-,-,15.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.40,-,-,-,-,15.24,-,-
"카메룬",-,7.75,-,-,-,-,8.08,-,-,-,-,5.50,-,-,-,-,5.38,-,-,-,-,5.04,-,-,-,-,5.00,-,-,-,-,5.00,-,-,-
"카보베르데",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.83,-,-,-,-,7.19,-,-,-,-
"중앙아프리카공화국",-,7.75,-,-,-,-,8.08,-,-,-,-,5.50,-,-,-,-,5.46,-,-,-,-,5.00,-,-,-,-,5.00,-,-,-,-,5.00,-,-,-
