"국가(통화단위)별",1993,1994,1995,1996,1997,1998,1999
"가이아나(Guyana$)",126.73,138.29,141.99,140.38,142.40,150.52,178.00
"아이티(Gourdes)",12.82,15.04,15.11,15.70,16.66,16.77,16.94
"자메이카(Jamaica$)",24.95,33.09,35.14,37.12,35.40,36.55,39.04
"마르티니크",5.66,5.55,4.99,5.12,5.84,5.90,-
"몬서랫(E. Caribbean Dollars)",2.70,2.70,2.70,2.70,2.70,2.70,2.70
"네덜란드령 안틸레스",1.79,1.79,1.79,1.79,1.79,1.79,1.79
"니카라과(C?rdobas)",5.62,6.72,7.55,8.44,9.45,10.58,11.81
"파나마(Balboas)",1.00,1.00,1.00,1.00,1.00,1.00,1.00
"파라과이(Guaranies)",1744.35,1904.76,1963.02,2056.81,2177.86,2726.49,3119.07
"페루(Nuevos soles)",1.99,2.20,2.25,2.45,2.66,2.93,3.38
"세인트키츠네비스(E.Caribbean$)",2.70,2.70,2.70,2.70,2.70,2.70,2.70
"세인트루시아(E.Caribbean$)",2.70,2.70,2.70,2.70,2.70,2.70,2.70
"세인트빈센트그레나딘(E.Caribbean$)",2.70,2.70,2.70,2.70,2.70,2.70,2.70
"수리남(S$)",0.00,0.22,0.44,0.40,0.40,0.40,0.83
"트리니다드토바고(TT$)",5.35,5.93,5.95,6.01,6.25,6.30,6.30
"우루과이(Pesos)",3.94,5.04,6.35,7.97,9.44,10.47,11.34
"베네수엘라(Bolivares)",0.09,0.15,0.18,0.42,0.49,0.55,0.61
"유럽",,,,,,,
"알바니아(Leks)",102.06,94.62,92.70,104.50,148.93,150.63,137.69
"오스트리아(Schilling)",11.63,11.42,10.08,10.59,12.20,12.38,-
"벨라루스(New Rubles)",-,0.00,0.00,0.00,0.00,0.01,0.03
"벨기에(Franc)",34.60,33.46,29.48,30.96,35.77,36.30,-
"보스니아-헤르체고비나(Convertible Marka)",-,-,-,-,1.73,1.76,1.84
"불가리아(Leva)",0.03,0.05,0.07,0.18,1.68,1.76,1.84
"크로아티아(Kuna)",3.58,6.00,5.23,5.43,6.16,6.36,7.11
"체코(Koruny)",29.15,28.79,26.54,27.15,31.70,32.28,34.57
"덴마크(Kroner)",6.48,6.36,5.60,5.80,6.60,6.70,6.98
"에스토니아(Krooni)",13.22,12.99,11.47,12.04,13.88,14.08,14.68
"페로제도(Kronur)",6.48,6.36,5.60,5.80,6.60,6.70,6.98
"핀란드(Markka)",5.71,5.22,4.37,4.59,5.19,5.34,-
"프랑스(Franc)",5.66,5.55,4.99,5.12,5.84,5.90,-
"독일(DM)",1.65,1.62,1.43,1.51,1.73,1.76,-
"지브롤터",0.67,0.65,0.63,0.64,0.61,0.60,0.62
"그리스(Drachma)",229.25,242.60,231.66,240.71,273.06,295.53,305.65
"헝가리(Forint)",91.93,105.16,125.68,152.65,186.79,214.40,237.15
"아이슬란드(Kronur)",67.60,69.94,64.69,66.50,70.90,70.96,72.34
"아일랜드(Pound)",0.68,0.67,0.62,0.63,0.66,0.70,-
"맨섬",0.67,0.65,0.63,0.64,0.61,0.60,0.62
"이탈리아(Lira)",1573.67,1612.45,1628.93,1542.95,1703.10,1736.21,-
"라트비아(Lats)",0.68,0.56,0.53,0.55,0.58,0.59,0.59
"리투아니아(Litai)",4.34,3.98,4.00,4.00,4.00,4.00,4.00
"룩셈부르크(Francs)",34.60,33.46,29.48,30.96,35.77,36.30,-
"북마케도니아(Denar)",-,43.26,37.88,39.98,50.00,54.46,56.90
"몰타(Lira)",0.38,0.38,0.35,0.36,0.39,0.39,0.40
"몰도바(Lei)",-,-,4.50,4.60,4.62,5.37,10.52
"네덜란드(Guilder)",1.86,1.82,1.61,1.69,1.95,1.98,-
"노르웨이(Kroner)",7.09,7.06,6.34,6.45,7.07,7.55,7.80
"폴란드(Zlotys)",1.81,2.27,2.43,2.70,3.28,3.48,3.97
"포르투갈(Escudo)",160.80,165.99,151.11,154.24,175.31,180.10,-
"루마니아(Lei)",0.08,0.17,0.20,0.31,0.72,0.89,1.53
"러시아(Rubles)",0.99,-,-,5.12,5.79,9.71,24.62
"산마리노(Euros)",1573.67,1612.45,1628.93,1542.95,1703.10,1736.21,0.94
"슬로바키아(Koruny)",30.77,32.05,29.71,30.65,33.62,35.23,41.36
"슬로베니아(Tolar)",113.24,128.81,118.52,135.36,159.69,166.13,181.77
"스페인(Peseta)",127.26,133.96,124.69,126.66,146.41,149.40,-
"스웨덴(Kronor)",7.78,7.72,7.13,6.71,7.64,7.95,8.26
"스위스(Francs)",1.48,1.37,1.18,1.24,1.45,1.45,1.50
"우크라이나(Hryvnias)",0.05,0.33,1.47,1.83,1.86,2.45,4.13
"영국(Pounds)",0.67,0.65,0.63,0.64,0.61,0.60,0.62
"유로지역(Euros)",-,-,-,-,-,-,0.94
"몬테네그로(Euros)",-,-,-,-,-,-,0.94
"세르비아(Dinars)",-,-,-,-,5.91,10.03,11.66
"아프리카",,,,,,,
"알제리(Dinars)",23.35,35.06,47.66,54.75,57.71,58.74,66.57
"앙골라(Kwanzas)",0.00,0.00,0.00,0.13,0.23,0.39,2.79
"베냉(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"보츠와나(Pula)",2.42,2.69,2.77,3.32,3.65,4.23,4.62
"부르키나파소(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"부룬디(Francs)",242.78,252.66,249.76,302.75,352.35,447.77,563.56
"카메룬(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"카보베르데(Escudos)",80.43,81.89,76.85,82.59,93.18,98.16,102.70
"중앙아프리카공화국(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"차드(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"코모로(Francs)",283.16,416.40,374.36,383.66,437.75,442.46,461.79
"콩고(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"콩고민주공화국(Congo Francs)",0.00,0.01,0.07,0.50,1.31,1.61,4.02
"코트디부아르(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"지부티(Francs)",177.72,177.72,177.72,177.72,177.72,177.72,177.72
"이집트(Pounds)",3.35,3.39,3.39,3.39,3.39,3.39,3.40
"적도기니(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"에리트레아(Nakfa)",5.00,5.47,6.16,6.36,6.76,7.36,8.15
"에티오피아(Birr)",5.00,5.47,6.16,6.35,6.71,7.12,7.94
"가봉(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"감비아(Dalasis)",9.11,9.58,9.54,9.80,10.20,10.64,11.40
"가나(Cedis)",0.07,0.10,0.12,0.16,0.21,0.23,0.27
"기니(Francs)",955.49,976.64,991.41,1004.02,1095.33,1236.83,1387.40
"기니비사우(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"케냐(Shillings)",58.00,56.05,51.43,57.12,58.73,60.37,70.33
"레소토(Maloti)",3.27,3.55,3.63,4.30,4.61,5.53,6.11
"라이베리아(L$)",46.44,46.44,49.84,46.84,50.57,41.51,41.90
"리비아(Dinar)",0.30,0.35,0.42,0.44,0.46,0.47,0.46
"마다가스카르(Ariary)",382.76,613.47,853.13,812.25,1018.18,1088.28,1256.76
"말라위(Kwacha)",4.40,8.74,15.28,15.31,16.44,31.07,44.09
"말리(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"모리타니(Ouguiyas)",12.08,12.36,12.98,13.72,15.19,18.85,20.95
"모리셔스(Rupees)",17.65,17.96,17.39,17.95,21.06,23.99,25.19
"모로코(Dirhams)",9.30,9.20,8.54,8.72,9.53,9.60,9.80
"모잠비크(Meticais Novos)",3.87,6.04,9.02,11.29,11.54,11.88,12.78
"나미비아(Nam$)",3.27,3.55,3.63,4.30,4.61,5.53,6.11
"니제르(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"나이지리아(Naira)",22.07,22.00,21.90,21.88,21.89,21.89,92.34
"레위니옹",5.66,5.55,4.99,5.12,5.84,5.90,-
"르완다(Francs)",144.24,140.70,262.18,306.82,301.53,312.31,333.94
"상투메프린시페(Dobras)",0.43,0.73,1.42,2.20,4.55,6.88,7.12
"세네갈(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"세이셸(Rupees)",5.18,5.06,4.76,4.97,5.03,5.26,5.34
"시에라리온(Leones)",567.46,586.74,755.22,920.73,981.48,1563.62,1804.20
"남아프리카공화국(Rand)",3.27,3.55,3.63,4.30,4.61,5.53,6.11
"수단(Pounds)",0.16,0.29,0.58,1.25,1.58,2.01,2.53
"에스와티니(Emalangeni)",3.27,3.55,3.63,4.30,4.61,5.53,6.11
"탄자니아(Shillings)",405.27,509.63,574.76,579.98,612.12,664.67,744.76
"토고(CFA Francs)",283.16,555.21,499.15,511.55,583.67,589.95,615.47
"튀니지(Dinars)",1.00,1.01,0.95,0.97,1.11,1.14,1.19
"우간다(Shillings)",1195.02,979.45,968.92,1046.09,1083.01,1240.31,1454.83
"잠비아(New Kwacha)",0.45,0.67,0.86,1.21,1.32,1.86,2.39
"짐바브웨(Z$)",0.01,0.01,0.01,0.01,0.01,0.02,0.04
"오세아니아",,,,,,,
"오스트레일리아(A$)",1.47,1.37,1.35,1.28,1.35,1.59,1.55
"피지(F$)",1.54,1.46,1.41,1.40,1.44,1.99,1.97
"프랑스령폴리네시아",102.97,100.95,90.75,93.01,106.12,107.26,111.97
"키리바시(Aust.dollar)",1.47,1.37,1.35,1.28,1.35,1.59,1.55
"마이크로네시아(US$)",1.00,1.00,1.00,1.00,1.00,1.00,1.00
"나우루",1.47,1.37,1.35,1.28,1.35,1.59,1.55
"뉴칼레도니아",102.97,100.95,90.75,93.01,106.12,107.26,111.97
"뉴질랜드(NZ$)",1.85,1.69,1.52,1.46,1.51,1.87,1.89
"파푸아뉴기니(Kina)",0.98,1.01,1.28,1.32,1.44,2.07,2.57
"사모아(Tala)",2.57,2.54,2.47,2.46,2.56,2.95,3.01
"솔로몬제도(SI$)",3.19,3.29,3.41,3.57,3.72,4.82,4.84
"통가(pa’anga)",1.38,1.32,1.27,1.23,1.26,1.49,1.60
"바누아투(Vatu)",121.58,116.41,112.11,111.72,115.87,127.52,129.08
